tax_group,n_queries
Clostridium,4
Chloroflexi,3
Flavobacterium,3
Ananas,2
Aquimarina,2
Arachis,2
Betaproteobacteria,2
Blastococcus,2
Firmicutes,2
Ktedonobacter,2
Novosphingobium,2
Odoribacter,2
Pseudomonas,2
Sporomusa,2
Streptomyces,2
Absidia,1
Achromobacter,1
Acidimicrobiaceae,1
Acidobacteria,1
Acinetobacter,1
Acrocarpospora,1
Actinobacteria,1
Actinomadura,1
Adhaeribacter,1
Aenigmarchaeota,1
Aeromonas,1
Agrobacterium,1
Alcanivorax,1
Algoriphagus,1
alpha,1
Alphaproteobacteria,1
Anaeromassilibacillus,1
Anguilla,1
Anopheles,1
Aquilegia,1
Archocentrus,1
Asterias,1
Bacillus,1
Bacteroidales,1
Bacteroidetes,1
Bacteroidia,1
Balneola,1
Balneolaceae,1
Bathyarchaeota,1
Bdellovibrionales,1
Brachionus,1
Brevundimonas,1
Burkholderiales,1
Cadophora,1
Candida,1
candidate,1
Carica,1
Cellvibrio,1
Cercospora,1
Chelonia,1
Chitinophagia,1
Chlorobi,1
Chryseobacterium,1
Chthonomonadales,1
Clostridiales,1
Corallococcus,1
Dehalococcoidia,1
Desmospora,1
Desulfovibrio,1
Dictyobacter,1
Diploscapter,1
Dipodomys,1
Dysosmobacter,1
Edaphobacter,1
Eisenbergiella,1
Enterococcus,1
Entotheonella,1
Epibacterium,1
Erysipelotrichaceae,1
Escherichia,1
Eumeta,1
Ewingella,1
Extensimonas,1
Fischerella,1
Flagellimonas,1
Flavonifractor,1
Fomitiporia,1
Fragaria,1
Frankiales,1
Frankineae,1
Fulvivirga,1
Fusobacterium,1
Gammaproteobacteria,1
Geodermatophilaceae,1
Gossypium,1
Granulicella,1
Halodesulfovibrio,1
Helicobacter,1
Hellea,1
Hesseltinella,1
Hibiscus,1
Homo,1
Hordeum,1
Hyalella,1
Hypholoma,1
Intestinimonas,1
Janibacter,1
Kitasatospora,1
Klebsiella,1
Kofleriaceae,1
Kytococcus,1
Lachnospiraceae,1
Lactobacillus,1
Leucoagaricus,1
Leucothrix,1
Limnohabitans,1
Lutibacter,1
Magnetospirillum,1
Mariniflexile,1
Marsarchaeota,1
Massilimicrobiota,1
Methanomicrobiales,1
Methanospirillum,1
Methylococcales,1
Micromonospora,1
Mikania,1
Mucilaginibacter,1
Mycena,1
Mycoplasma,1
Nakamurella,1
Nannizzia,1
Nealsonbacteria,1
Neolentinus,1
Nitrososphaeria,1
Nitrosospira,1
Nitrospiraceae,1
Nocardia,1
Nocardioidaceae,1
Nocardioides,1
Oharaeibacter,1
Omnitrophica,1
Oscillochloris,1
Pachysolen,1
Panthera,1
Papaver,1
Parastagonospora,1
Parcubacteria,1
Parvibaculum,1
Pectinatus,1
Pectobacterium,1
Pelotomaculum,1
Penaeus,1
Penicillium,1
Peptococcaceae,1
Periconia,1
Peronospora,1
Physcomitrella,1
Plasmodiophora,1
Polistes,1
Poribacteria,1
Propioniferax,1
Pseudanabaena,1
Pseudogulbenkiania,1
Pseudoloma,1
Pseudonocardia,1
Pseudonocardiales,1
Pseudorhodobacter,1
Puccinia,1
Quinella,1
Raoultibacter,1
Rhodococcus,1
Rhodospirillales,1
Rhodospirillum,1
Rhynchosporium,1
Rickettsiales,1
Rikenellaceae,1
Roizmanbacteria,1
Romboutsia,1
Roseovarius,1
Ruminococcaceae,1
Ruminococcus,1
Saccharibacillus,1
Saprospirales,1
Schlegelella,1
Shewanella,1
Sparassis,1
Sphaerisporangium,1
Sphingomonas,1
Spirochaetaceae,1
Spirochaetes,1
Spizellomyces,1
Staphylococcus,1
Stenotrophomonas,1
Streptosporangiaceae,1
Streptosporangium,1
Sturnira,1
Subdoligranulum,1
Sungbacteria,1
Symbiodinium,1
Syntrophaceae,1
Telmatospirillum,1
Tetranychus,1
Tetrapyrgos,1
Thalassobius,1
Thermocatellispora,1
Thermodesulfobacterium,1
Thermomonospora,1
Thermopolyspora,1
Thiotrichaceae,1
Tribolium,1
Trichoderma,1
Trichophyton,1
Ureaplasma,1
Vanessa,1
Verrucomicrobia,1
Vibrio,1
Woesearchaeota,1
Wolfebacteria,1
Xanthomonas,1
Yangia,1
Zea,1
Zhengella,1
